time,value,station_no,station_name
2022-03-24 00:00:00+01:00,3077.77,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-25 00:00:00+01:00,2880.08,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-26 00:00:00+01:00,2710.26,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-27 00:00:00+01:00,2672.7,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-28 01:00:00+02:00,2862.94,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-29 01:00:00+02:00,3014.42,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-30 01:00:00+02:00,2843.41,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-03-31 01:00:00+02:00,2792.89,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-01 01:00:00+02:00,,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-02 01:00:00+02:00,2408.37,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-03 01:00:00+02:00,2494.83,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-04 01:00:00+02:00,2496.42,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-05 01:00:00+02:00,2468.98,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-06 01:00:00+02:00,2407.7,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-07 01:00:00+02:00,2224.25,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-08 01:00:00+02:00,2380.3,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-09 01:00:00+02:00,2524.77,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-10 01:00:00+02:00,2409.73,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-11 01:00:00+02:00,2560.55,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-12 01:00:00+02:00,2566.53,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-13 01:00:00+02:00,2623.07,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-14 01:00:00+02:00,,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-15 01:00:00+02:00,2659.3,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-16 01:00:00+02:00,2627.87,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-17 01:00:00+02:00,2629.59,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-18 01:00:00+02:00,2638.84,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-19 01:00:00+02:00,2670.65,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-20 01:00:00+02:00,2659.33,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-21 01:00:00+02:00,2652.94,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-22 01:00:00+02:00,2648.7,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-23 01:00:00+02:00,2655.64,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-24 01:00:00+02:00,2704.65,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-25 01:00:00+02:00,2690.76,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-26 01:00:00+02:00,2724.94,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-27 01:00:00+02:00,2721.41,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-28 01:00:00+02:00,2762.33,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-29 01:00:00+02:00,2635.53,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-04-30 01:00:00+02:00,2540.37,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-01 01:00:00+02:00,2413.19,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-02 01:00:00+02:00,2379.84,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-03 01:00:00+02:00,2364.29,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-04 01:00:00+02:00,2340.93,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-05 01:00:00+02:00,2328.73,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-06 01:00:00+02:00,2334.43,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-07 01:00:00+02:00,3055.13,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-08 01:00:00+02:00,4406.41,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-09 01:00:00+02:00,4427.79,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-10 01:00:00+02:00,4416.42,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-11 01:00:00+02:00,4183.86,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-12 01:00:00+02:00,4651.49,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-13 01:00:00+02:00,4929.55,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-14 01:00:00+02:00,5033.11,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-15 01:00:00+02:00,4811.27,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-16 01:00:00+02:00,4776.25,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-17 01:00:00+02:00,4704.68,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-18 01:00:00+02:00,4759.87,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-19 01:00:00+02:00,4923.17,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-20 01:00:00+02:00,4702.22,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-21 01:00:00+02:00,4539.16,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-22 01:00:00+02:00,4450.68,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-23 01:00:00+02:00,4377.71,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-24 01:00:00+02:00,4173.94,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-25 01:00:00+02:00,3980.78,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-26 01:00:00+02:00,3873.33,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-27 01:00:00+02:00,3747.05,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-28 01:00:00+02:00,3956.36,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-29 01:00:00+02:00,3871.22,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-30 01:00:00+02:00,3793.21,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-05-31 01:00:00+02:00,3726.0,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-01 01:00:00+02:00,3924.69,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-02 01:00:00+02:00,3973.91,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-03 01:00:00+02:00,3980.13,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-04 01:00:00+02:00,4525.57,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-05 01:00:00+02:00,5327.9,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-06 01:00:00+02:00,5028.62,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-07 01:00:00+02:00,4764.5,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-08 01:00:00+02:00,4686.69,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-09 01:00:00+02:00,,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-10 01:00:00+02:00,,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-11 01:00:00+02:00,,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-12 01:00:00+02:00,,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-13 01:00:00+02:00,,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-14 01:00:00+02:00,5117.1,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-15 01:00:00+02:00,5214.98,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-16 01:00:00+02:00,5156.09,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-17 01:00:00+02:00,5325.31,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-18 01:00:00+02:00,5626.63,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-19 01:00:00+02:00,5843.11,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-20 01:00:00+02:00,5860.7,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-21 01:00:00+02:00,5770.21,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-22 01:00:00+02:00,5527.9,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-23 01:00:00+02:00,5729.69,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-24 01:00:00+02:00,,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-25 01:00:00+02:00,6480.03,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-26 01:00:00+02:00,6708.98,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-27 01:00:00+02:00,6368.99,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-28 01:00:00+02:00,5819.85,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-29 01:00:00+02:00,5777.24,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-06-30 01:00:00+02:00,5816.65,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-01 01:00:00+02:00,5728.82,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-02 01:00:00+02:00,5664.03,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-03 01:00:00+02:00,5639.04,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-04 01:00:00+02:00,5534.01,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-05 01:00:00+02:00,,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-06 01:00:00+02:00,5278.78,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-07 01:00:00+02:00,5355.19,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-08 01:00:00+02:00,5428.88,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-09 01:00:00+02:00,5533.09,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-10 01:00:00+02:00,5567.04,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-11 01:00:00+02:00,5649.95,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-12 01:00:00+02:00,5807.17,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-13 01:00:00+02:00,6380.06,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-14 01:00:00+02:00,,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-15 01:00:00+02:00,,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-16 01:00:00+02:00,8120.92,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-17 01:00:00+02:00,9430.01,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-18 01:00:00+02:00,9809.12,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-19 01:00:00+02:00,10272.04,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-20 01:00:00+02:00,9523.98,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-21 01:00:00+02:00,8964.51,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-22 01:00:00+02:00,8863.81,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-23 01:00:00+02:00,8741.81,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-24 01:00:00+02:00,8890.03,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-25 01:00:00+02:00,9228.18,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-26 01:00:00+02:00,9273.72,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
2022-07-27 01:00:00+02:00,9069.21,IMC_690905,Middelkerke/WN.4.7./EC/Rattevallestraat
