time,name,location,salinity_raw_ppm,salinity_factor,salinity_ppm,comment,sal,salinity_g.l-1,density_kg.m-3
2023-01-16,pitCD,CD-pit,,,,,190.0,0.48300293130379296,1000.3450020937885
2023-02-08,CD1-150,A150,,,47.0,,47.0,0.11947967248041196,1000.0853426232003
2023-02-08,CD1-200,A200,,,50.0,,50.0,0.12710603455362973,1000.0907900246812
2023-02-08,CD1-300,A300,,,290.0,,290.0,0.7372150004110524,1000.5265821431508
2023-02-08,CD2-150,B150,,,38.0,,38.0,0.0966005862607586,1000.0690004187577
2023-02-08,CD2-200,B200,,,1300.0,,1300.0,3.304756898394373,1002.3605406417103
2023-02-08,CD2-300,B300,,,1000.0,,1000.0,2.5421206910725944,1001.8158004936233
2023-02-08,CD3-150,C150,,,32.0,,32.0,0.08134786211432303,1000.058105615796
2023-02-08,CD3-200,C200,,,760.0,,760.0,1.9320117252151718,1001.3800083751537
2023-02-08,CD3-300,C300,,,450.0,,450.0,1.1439543109826675,1000.8171102221305
2023-02-08,RD3-300,D150,,,39.0,,39.0,0.0991427069518312,1000.0708162192514
2023-02-08,RD3-200,D200,,,130.0,,130.0,0.3304756898394373,1000.2360540641711
2023-02-08,RD3-150,D300,,,990.0,,990.0,2.5166994841618684,1001.7976424886871
2023-02-08,RD2-150,E150,,,48.0,,48.0,0.12202179317148454,1000.087158423694
2023-02-08,RD2-200,E200,,,72.0,,72.0,0.1830326897572268,1000.1307376355409
2023-02-08,RD2-300,E300,,,640.0,,640.0,1.6269572422864607,1001.1621123159189
2023-02-08,RD1-150,F150,,,240.0,,240.0,0.6101089658574227,1000.4357921184696
2023-02-08,RD1-200,F200,,,1100.0,,1100.0,2.796332760179854,1001.9973805429856
2023-02-08,RD1-300,F300,,,1400.0,,1400.0,3.5589689675016323,1002.5421206910726
2023-02-08,ditchRD,ditchF,,,410.0,,410.0,1.0422694833397639,1000.7444782023855
2023-02-08,ditchCD,ditchA,,,1300.0,,1300.0,3.304756898394373,1002.3605406417103
2023-03-08,CD1-150,A150,,,75.0,,75.0,0.1906590518304446,1000.1361850370217
2023-03-08,CD1-200,A200,,,110.0,,110.0,0.27963327601798543,1000.1997380542986
2023-03-08,CD1-300,A300,,,1800.0,,1800.0,4.57581724393067,1003.2684408885219
2023-03-08,CD2-150,B150,,,63.0,,63.0,0.16015360353757346,1000.1143954310983
2023-03-08,CD2-200,B200,,,1900.0,,1900.0,4.8300293130379295,1003.4500209378842
2023-03-08,CD2-300,B300,,,2900.0,,2900.0,7.372150004110525,1005.2658214315076
2023-03-08,CD3-150,C150,,,21.0,,21.0,0.05338453451252449,1000.038131810366
2023-03-08,CD3-200,C200,,,190.0,,190.0,0.48300293130379296,1000.3450020937885
2023-03-08,CD3-300,C300,,,910.0,,910.0,2.313329828876061,1001.6523784491972
2023-03-08,RD3-300,D150,,,60.0,,60.0,0.15252724146435567,1000.1089480296174
2023-03-08,RD3-200,D200,,,120.0,,120.0,0.30505448292871135,1000.2178960592348
2023-03-08,RD3-150,D300,,,780.0,,780.0,1.9828541390366239,1001.4163243850262
2023-03-08,RD2-150,E150,,,95.0,,95.0,0.24150146565189648,1000.1725010468942
2023-03-08,RD2-200,E200,,,380.0,,380.0,0.9660058626075859,1000.6900041875768
2023-03-08,RD2-300,E300,,,890.0,,890.0,2.2624874150546095,1001.6160624393248
2023-03-08,RD1-150,F150,,,530.0,,530.0,1.347323966268475,1000.9623742616203
2023-03-08,RD1-200,F200,,,1300.0,,1300.0,3.304756898394373,1002.3605406417103
