Z,2022-10-06 00:00:00,2022-12-01 00:00:00,2023-01-19 00:00:00,2023-02-08 00:00:00,2023-03-08 00:00:00
-1.04,101.04528600525678,68.87950561948445,114.76238381758255,145.11751384974477,123.30456431849653
-1.03,101.14948195885765,76.7896584022317,113.98817518368398,141.4120264860778,122.90733239971136
-1.02,102.03644962910988,73.8344931985531,116.17730198878172,149.77187222271155,133.38188421596735
-1.01,96.28681643286976,69.91497076247566,89.81627640915193,121.59340354687002,119.71000032816833
-1.0,96.16521214218896,69.80445413007615,91.81631877325758,122.58101685856722,119.03538155234412
-0.99,100.15871033685154,64.34296209878968,112.18800587576817,135.09424458684478,109.38332496188475
-0.98,100.01993247597444,74.5989422345641,105.20033014647402,132.11892676975117,122.54564759507953
-0.97,98.66774153354345,68.66473081650823,105.1134298061267,129.3821212281368,118.05392955136581
-0.96,100.37106575860889,66.1725308613488,111.42184349841746,132.06385060911398,107.51249892020572
-0.95,101.17657909515431,79.69033586433771,111.75765196312331,133.11106835632847,113.3506817995011
-0.94,102.50620658912301,82.82285597662137,113.35843811243676,133.6929196966303,118.19179350148256
-0.93,98.61717003270279,65.82425117041947,106.63960825222736,126.4247566030552,113.91661923494955
-0.91,101.94561303036748,82.49258435727688,112.21518435426539,130.31032873725752,115.77480309041975
-0.9,99.08531204569358,63.24725822474224,108.13735897578663,124.66435555609768,110.39036294846444
-0.89,99.98190510390634,64.65838911521739,110.25585908256193,126.22024896668243,110.87807378589889
-0.88,100.76062586821133,72.7060098088185,110.81301852564134,128.0244286540867,111.2560630979151
-0.86,97.52538074037214,70.65425172758644,96.33123930559873,115.98740090201409,110.62395104758981
-0.84,97.9569278654394,71.66041337360618,98.63128210191039,114.60894425744807,105.83296437715316
-0.83,99.3378233972778,74.34501941623341,103.76780310561625,116.48139409348991,108.96670885254706
-0.81,99.67731980498885,73.64253599905919,104.61201168831107,118.30643439622625,111.5743088871184
-0.8,99.9041353739355,70.24136112868433,105.94822569240961,117.73170666624155,106.9826705275802
-0.77,96.79303939928256,58.66882738188391,101.57548205841816,102.29309377830613,95.26892359167094
-0.76,100.23591967833563,72.91088973168382,105.92109981085171,112.61248219741384,102.36108319966861
-0.75,99.18344104911908,70.65231228492156,107.70239878447967,119.04582553717177,110.14321449048335
-0.73,99.95974302356261,70.91761943873111,105.9230972809852,109.6460534327234,101.5492079018401
-0.71,97.21404046920695,66.78069077255857,97.71858099846584,101.60304623496934,98.57677456664531
-0.7,95.73060568771474,69.77817503798907,89.71075635355099,97.1333436252819,98.48660110015342
-0.69,99.16755792033992,73.44557739398232,104.80291308295918,111.61327375227108,105.14270768184257
